device,accuracy,val_accuracy,loss,val_loss,day,execute_time_seconds,evaluate_time_seconds,is_model_changed,evaluate_accuracy
3,0.9231578707695008,0.8865545988082886,0.2144567677849217,0.3330163478851318,5,418.5862092971802,87.99435830116272,1.0,0.8865545988082886
4,0.930526316165924,0.8739495873451233,0.2111655992896933,0.2855745496849219,5,419.6651315689087,88.9453718662262,1.0,0.8991596698760986
5,0.930526316165924,0.9033613204956056,0.1959309035853335,0.2824761000772317,5,421.5496299266815,87.29624438285828,1.0,0.924369752407074
6,0.9084210396,0.8865545988,0.2279980037,0.3016548897,5,423.6534402370453,85.89374828338623,1.0,0.8907563090324402
7,0.9073684216,0.8655462265,0.2260255037,0.3237793962,5,416.089898109436,86.11297011375427,1.0,0.894957959651947
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,5,417.5036332607269,91.39558267593384,1.0,0.9411764740943908
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,5,426.5172984600067,86.81901240348816,0.0,0.9159663915634156
10,0.9021052718,0.8445377946,0.2719959625,0.309705927,5,413.321521282196,87.37875628471375,1.0,0.9075630307197572
11,0.9063158035,0.9117646813,0.2122963596,0.2708229472,5,420.0432486534119,86.27655553817749,0.0,0.8907563090324402
12,0.9210526347,0.8865545988,0.2080258704,0.2558333074,5,414.821316242218,86.64601135253906,1.0,0.8991596698760986
13,0.917894721031189,0.9411764740943908,0.2198271092929338,0.2155613971253236,5,417.22571539878845,88.16025400161743,0.0,0.9369747638702391
14,0.8989473581,0.8823529482,0.2626486963,0.2626173983,5,416.2069413661957,85.45808148384094,1.0,0.8991596698760986
15,0.8968421220779419,0.924369752407074,0.2424307967212639,0.2196384534239769,5,417.9568128585816,87.15066266059875,0.0,0.9201680421829224
16,0.9231578708,0.8823529482,0.2090593493,0.3073971468,5,413.47372579574585,85.82477021217346,1.0,0.924369752407074
17,0.9136841893196106,0.9327731132507324,0.2425203214507354,0.1709025430182616,5,420.7866044044495,86.54073452949524,0.0,0.9159663915634156
18,0.9242105484,0.9159663916,0.1958571938,0.2250692929,5,425.53781938552856,86.13040208816528,0.0,0.911764681339264
19,0.9031578898429872,0.8865545988082886,0.2510458224423622,0.2676547850171725,5,420.3661077022553,87.12102937698364,0.0,0.8697478771209717
0,0.9242105484,0.9117646813,0.188166603,0.2146960792,6,422.48486328125,90.2314190864563,1.0,0.924369752407074
1,0.9263157844543456,0.9075630307197572,0.2122828726078334,0.2343985848128795,6,418.7017385959625,100.71163630485536,1.0,0.9411764740943908
2,0.9073684216,0.8991596699,0.2405460296,0.2619023855,6,413.86559557914734,87.59588670730591,1.0,0.9201680421829224
3,0.9284210801124572,0.9285714030265808,0.1792259568917124,0.2468218691647052,6,419.0999655723572,89.84351849555969,0.0,0.894957959651947
4,0.9305263162,0.8739495873,0.2111655993,0.2855745497,6,416.5685725212097,86.59353923797607,1.0,0.9075630307197572
5,0.8968421220779419,0.911764681339264,0.2514667068735549,0.2761923462152481,6,418.7714066505432,86.37012386322021,1.0,0.9285714030265808
6,0.9084210396,0.8865545988,0.2279980037,0.3016548897,6,410.666277885437,86.97759652137756,1.0,0.8907563090324402
7,0.9073684216,0.8655462265,0.2260255037,0.3237793962,6,414.5156874656677,85.25827693939209,1.0,0.894957959651947
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,6,415.4173626899719,92.47675371170044,1.0,0.9537814855575562
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,6,423.2335577011109,85.94997787475586,0.0,0.9327731132507324
10,0.9021052718,0.8445377946,0.2719959625,0.309705927,6,414.038578748703,84.94649028778076,1.0,0.911764681339264
11,0.9063158035,0.9117646813,0.2122963596,0.2708229472,6,423.9341905117035,85.74264931678772,0.0,0.9033613204956056
12,0.9210526347,0.8865545988,0.2080258704,0.2558333074,6,411.5639173984528,84.90659523010254,1.0,0.9033613204956056
